Row,Burstiness Ratio,Average Gap,Run Lengths
1310,0.0,0.0,[1]
1312,0.0,0.0,[1]
1313,0.0,0.0,[1]
1314,0.0,6.5,"[1, 1, 1]"
1315,0.0,0.0,[1]
1316,0.0,0.0,[1]
1317,0.09090909090909091,8.636363636363637,"[3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
1321,0.0,35.0,"[1, 1]"
1322,0.25,5.875,"[1, 4, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 1]"
1323,0.6511627906976745,2.255813953488372,"[1, 5, 9, 8, 1, 1, 3, 1, 10, 1, 1, 3, 3, 3, 1, 3]"
1327,0.0,0.0,[1]
1328,0.0,8.0,"[1, 1]"
1329,0.44,3.8,"[2, 1, 2, 1, 3, 2, 1, 3, 2, 2, 1, 2, 1, 1, 5]"
1351,0.0,79.0,"[1, 1]"
1352,0.0,0.0,[1]
1353,0.0,7.0,"[1, 1]"
1354,0.125,11.625,"[1, 1, 1, 1, 1, 1, 2, 1]"
1355,0.7045454545454546,2.1818181818181817,"[1, 2, 1, 3, 4, 6, 9, 2, 7, 8, 9, 1, 2, 1]"
1389,0.0,16.5,"[1, 1, 1, 1, 1]"
1390,0.2222222222222222,10.666666666666666,"[1, 1, 1, 1, 5, 1, 1, 1]"
1393,0.3333333333333333,7.444444444444445,"[2, 1, 1, 1, 1, 3, 1]"
1485,0.7551020408163265,2.0,"[1, 2, 1, 8, 2, 10, 5, 3, 1, 4, 12, 4, 8]"
1493,0.0,0.0,[1]
1494,0.0,0.0,[1]
1503,0.5,2.84375,"[2, 3, 5, 5, 4, 3, 3, 1, 3, 1, 1, 2, 1, 1, 3, 1, 1]"
1504,0.5517241379310345,3.413793103448276,"[2, 1, 3, 2, 9, 3, 1, 1, 3, 2, 1, 4, 2, 1]"
1507,0.5151515151515151,2.9393939393939394,"[3, 2, 1, 1, 1, 2, 2, 4, 6, 2, 3, 1, 3, 2, 2, 5, 1]"
1513,0.0,10.666666666666666,"[1, 1, 1, 1]"
1537,0.0,0.0,[1]
1539,0.0,0.0,[1]
1542,0.0,15.0,"[1, 1]"
1543,0.0,58.0,"[1, 1]"
1544,0.0,0.0,[1]
1545,0.125,9.375,"[3, 1, 1, 1, 1, 1, 1, 1]"
1558,0.0,0.0,[1]
1559,0.0,67.0,"[1, 1]"
1560,0.0,0.0,[1]
1561,0.0,0.0,[1]
1562,0.0,0.0,[1]
1563,0.0,0.0,[1]
1564,0.0,0.0,[1]
1565,0.0,0.0,[1]
1566,0.0,0.0,[1]
1567,0.0,0.0,[1]
1568,0.0,0.0,[1]
1569,0.0,67.0,"[1, 1]"
1570,0.0,0.0,[1]
1571,0.0,0.0,[1]
1572,0.0,0.0,[1]
1573,0.0,0.0,[1]
1574,0.0,0.0,[1]
1575,0.0,67.0,"[1, 1]"
1576,0.0,0.0,[1]
1577,0.0,0.0,[1]
1578,0.0,21.0,"[1, 1]"
1579,0.3076923076923077,6.6923076923076925,"[1, 1, 1, 1, 4, 2, 1, 1, 1, 1]"
1580,0.29411764705882354,5.588235294117647,"[1, 1, 1, 1, 1, 1, 5, 4, 1, 1, 1, 1, 1]"
1581,0.0,14.0,"[1, 1, 1]"
1582,0.4230769230769231,3.576923076923077,"[1, 5, 1, 2, 3, 1, 2, 2, 4, 1, 1, 1, 2, 1, 3, 1]"
1583,0.6744186046511628,2.2790697674418605,"[1, 3, 12, 2, 3, 1, 4, 4, 1, 8, 3, 1, 9, 3, 4]"
1584,0.0,0.0,[1]
1585,0.0,0.0,[1]
1586,0.0,0.0,[1]
1587,0.0,0.0,[1]
1588,0.0,0.0,[1]
1589,0.0,21.0,"[1, 1]"
1590,0.0,0.0,[1]
1591,0.0,0.0,[1]
1592,0.0,0.0,[1]
1593,0.0,0.0,[1]
1594,0.0,0.0,[1]
1595,0.0,0.0,[1]
1615,0.0,0.0,[1]
1617,0.14285714285714285,9.857142857142858,"[1, 1, 1, 2, 1, 1, 1]"
1618,0.09090909090909091,8.636363636363637,"[1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1]"
1620,0.0,36.0,"[1, 1, 1]"
1621,0.23529411764705882,5.705882352941177,"[1, 3, 1, 1, 2, 1, 3, 1, 1, 1, 1, 1, 2, 1]"
1655,0.5428571428571428,2.6857142857142855,"[1, 3, 2, 7, 1, 4, 1, 1, 5, 2, 1, 2, 2, 2, 2, 3, 2]"
1656,0.5405405405405406,2.5405405405405403,"[1, 3, 2, 2, 2, 1, 1, 1, 1, 1, 5, 3, 2, 1, 1, 7, 1, 7]"
1672,0.0,45.0,"[1, 1]"
1673,0.0,0.0,[1]
1674,0.0,0.0,[1]
1675,0.0,0.0,[1]
1676,0.0,0.0,[1]
1677,0.0,0.0,[1]
1678,0.0,0.0,[1]
1679,0.0,0.0,[1]
1680,0.0,0.0,[1]
1681,0.0,0.0,[1]
1682,0.0,0.0,[1]
1683,0.0,0.0,[1]
1684,0.0,0.0,[1]
1685,0.0,0.0,[1]
1686,0.0,0.0,[1]
1687,0.0,0.0,[1]
1688,0.0,0.0,[1]
1689,0.0,19.0,"[1, 1, 1]"
1690,0.0,27.0,"[1, 1]"
1691,0.0,0.0,[1]
1692,0.0,16.6,"[1, 1, 1, 1, 1, 1]"
1693,0.16666666666666666,13.0,"[3, 1, 1, 1, 1, 1]"
1694,0.3181818181818182,4.318181818181818,"[1, 1, 4, 1, 2, 3, 1, 3, 1, 1, 3, 1, 1, 3, 1, 1]"
1695,0.0,20.75,"[1, 1, 1, 1, 1]"
1696,0.0,39.0,"[1, 1]"
1697,0.13333333333333333,6.466666666666667,"[1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 3]"
1698,0.0,0.0,[1]
1699,0.0,0.0,[1]
1700,0.0,0.0,[1]
1701,0.0,7.0,"[1, 1]"
1702,0.0,13.5,"[1, 1, 1]"
1703,0.0,14.666666666666666,"[1, 1, 1, 1, 1, 1, 1]"
1704,0.0,0.0,[1]
1705,0.0,38.0,"[1, 1]"
1706,0.0,38.0,"[1, 1]"
1707,0.0,0.0,[1]
1708,0.0,7.0,"[1, 1]"
1709,0.0,13.5,"[1, 1, 1]"
1731,0.0,15.0,"[1, 1]"
1732,0.59375,2.65625,"[4, 5, 4, 1, 1, 1, 6, 1, 10, 3, 3, 1, 2, 1]"
1733,0.0,0.0,[1]
1734,0.0,33.5,"[1, 1, 1]"
1735,0.4,13.8,"[1, 2, 1, 3]"
1745,0.0,0.0,[1]
1751,0.0,11.125,"[1, 1, 1, 1, 1, 1, 1, 1, 1]"
1769,0.0,13.6,"[1, 1, 1, 1, 1, 1]"
1770,0.2727272727272727,6.545454545454546,"[1, 2, 5, 1, 1, 1, 1, 1, 1]"
1773,0.0,0.0,[1]
1824,0.0,12.0,"[1, 1, 1]"
1825,0.0,0.0,[1]
1826,0.0,0.0,[1]
1828,0.0,0.0,[1]
1830,0.0,0.0,[1]
1831,0.0,0.0,[1]
1833,0.0,0.0,[1]
1834,0.0,0.0,[1]
1836,0.0,0.0,[1]
1837,0.0,28.0,"[1, 1]"
1838,0.0,0.0,[1]
1839,0.0,0.0,[1]
1840,0.0,0.0,[1]
1841,0.0,0.0,[1]
1842,0.0,0.0,[1]
1849,0.0,13.0,"[1, 1]"
1851,0.0,0.0,[1]
1852,0.0,0.0,[1]
1857,0.0,28.0,"[1, 1]"
1858,0.0,28.0,"[1, 1]"
1884,0.0,24.0,"[1, 1]"
1887,0.14285714285714285,9.428571428571429,"[1, 1, 1, 1, 2, 1, 1]"
1900,0.3333333333333333,16.666666666666668,"[2, 1, 1]"
1901,0.2,14.6,"[1, 2, 1, 1, 1]"
1902,0.2,14.6,"[1, 2, 1, 1, 1]"
